time,open,high,low,close,volume
2026-04-15T05:36:00Z,74036.8,74060.58,73921.49,73929.53,19.40086805
2026-04-15T05:39:00Z,73929.52,73994.63,73902.8,73975.41,35.48025156
2026-04-15T05:42:00Z,73975.41,74010.78,73968.3,73982.55,6.15354718
2026-04-15T05:45:00Z,73982.55,74020.0,73936.44,73991.99,17.49447883
2026-04-15T05:48:00Z,73991.2,74006.0,73932.9,73939.87,10.57880763
2026-04-15T05:51:00Z,73939.87,74042.44,73936.89,74008.01,12.759578340000001
2026-04-15T05:54:00Z,74008.02,74042.41,74004.0,74024.99,3.40911676
2026-04-15T05:57:00Z,74025.0,74076.55,74024.0,74047.15,5.92264752
2026-04-15T06:00:00Z,74047.15,74085.12,74028.48,74028.49,11.7608101
2026-04-15T06:03:00Z,74026.0,74037.39,73956.87,74014.44,18.69466365
2026-04-15T06:06:00Z,74014.44,74043.64,73971.94,73981.99,2.51225816
2026-04-15T06:09:00Z,73980.7,74027.31,73962.21,74027.3,4.04829995
2026-04-15T06:12:00Z,74027.3,74044.87,73969.92,73978.91,16.165187579999998
2026-04-15T06:15:00Z,73977.82,74016.58,73977.82,73993.09,3.61926117
2026-04-15T06:18:00Z,73994.0,74058.2,73994.0,74035.58,6.60169983
2026-04-15T06:21:00Z,74035.58,74038.5,73971.94,73995.37,4.12662166
2026-04-15T06:24:00Z,73995.36,73995.37,73947.07,73947.07,0.48085239
2026-04-15T06:27:00Z,73947.07,73989.54,73945.0,73955.19,4.03254591
2026-04-15T06:30:00Z,73955.19,73986.61,73953.3,73957.87,3.75307478
2026-04-15T06:33:00Z,73957.87,74017.72,73945.01,73949.01,7.29778775
2026-04-15T06:36:00Z,73949.02,73986.14,73927.93,73986.14,4.526240909999999
2026-04-15T06:39:00Z,73985.05,74028.48,73985.05,74023.73,3.5717733000000003
2026-04-15T06:42:00Z,74026.3,74037.29,74014.17,74037.28,1.90834852
2026-04-15T06:45:00Z,74037.28,74056.8,74026.0,74052.19,2.50612058
2026-04-15T06:48:00Z,74052.18,74052.18,73986.0,73986.0,2.7652930000000002
2026-04-15T06:51:00Z,73986.01,73986.01,73938.26,73948.02,3.87133309
2026-04-15T06:54:00Z,73950.59,73950.61,73905.01,73907.06,5.50313384
2026-04-15T06:57:00Z,73907.07,73943.52,73902.8,73924.0,5.2209603300000005
2026-04-15T07:00:00Z,73923.99,73970.02,73909.51,73960.94,5.12926468
2026-04-15T07:03:00Z,73960.93,73985.88,73902.8,73902.8,14.546116779999998
2026-04-15T07:06:00Z,73902.8,73903.16,73862.0,73881.02,42.68806152
2026-04-15T07:09:00Z,73881.02,74039.09,73881.02,74039.09,5.87962119
2026-04-15T07:12:00Z,74039.1,74054.83,73945.02,73945.02,4.38689398
2026-04-15T07:15:00Z,73945.01,73946.05,73634.24,73680.96,46.478337690000004
2026-04-15T07:18:00Z,73680.96,73734.01,73650.51,73712.9,26.60080978
